"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.5468155852574e-66,6.706457331985,0.9,0.083,7.61785051401585e-62,"0","CCL5"
6.98178366319142e-45,7.46049122748747,0.676,0.024,1.49954749518025e-40,"0","GZMA"
1.27515817650262e-43,6.46566768835777,0.695,0.068,2.73878473149232e-39,"0","NKG7"
1.7128399856762e-40,3.75396744039293,0.734,0.117,3.67883772123534e-36,"0","CST7"
8.56059367993295e-35,6.49265844846517,0.568,0.024,1.838644310576e-30,"0","GZMH"
4.05998303095572e-32,1.79709887779315,0.846,0.312,8.72003155388669e-28,"0","IL32"
1.17356438144276e-29,7.22090155894494,0.486,0.01,2.52058157846275e-25,"0","KLRK1"
1.38874558048162e-29,1.68102024990519,0.888,0.488,2.98274775775842e-25,"0","PTPRC"
2.02236515241849e-29,5.3160895787165,0.517,0.034,4.34363587436443e-25,"0","CTSW"
3.91299234874017e-28,1.21548443763126,1,0.956,8.40432496662414e-24,"0","TMSB4X"
4.99203959767159e-26,0.976825258516713,1,0.99,1.0721902647879e-21,"0","B2M"
5.4465748264882e-26,2.11126845017868,0.761,0.332,1.16981534123314e-21,"0","CD52"
5.63984330856894e-26,2.16581401819432,0.722,0.229,1.21132554581444e-21,"0","CD3D"
3.16247329323763e-25,2.36255875858077,0.699,0.298,6.79236013921577e-21,"0","PLAAT4"
3.97391539313946e-25,2.08741685340743,0.741,0.327,8.53517548138492e-21,"0","HCST"
4.47697758577024e-25,1.79973423753729,0.741,0.234,9.61565245871732e-21,"0","CD2"
1.16350987764483e-24,7.92753334136051,0.413,0.005,2.49898651520556e-20,"0","KLRD1"
5.02792141518437e-24,3.21525247919628,0.552,0.132,1.0798969615533e-19,"0","RUNX3"
6.18115426667392e-24,0.991399178891957,0.992,0.854,1.32758831339622e-19,"0","HLA-B"
7.21416328993459e-24,5.44998198038371,0.436,0.029,1.54945799141215e-19,"0","CD8A"
8.90024189289957e-24,1.74051720305582,0.788,0.4,1.91159395375697e-19,"0","LCP1"
4.20420209690226e-23,3.39961952356368,0.606,0.176,9.02978526372667e-19,"0","CCL4"
5.6905679688358e-23,1.87064860578256,0.676,0.2,1.22222018834655e-18,"0","CD7"
9.81929307420188e-23,4.90095698039171,0.456,0.049,2.10898776647708e-18,"0","IFNG"
1.02649454569762e-22,3.17608200565998,0.541,0.127,2.20470498524936e-18,"0","APOBEC3G"
1.0393597625034e-22,1.116582991395,0.919,0.722,2.2323368979048e-18,"0","SH3BGRL3"
1.84474985600808e-22,3.40168745606385,0.444,0.034,3.96215374073416e-18,"0","GZMK"
1.94098539260804e-21,3.13804256453948,0.514,0.122,4.16884842624356e-17,"0","PTPN22"
2.67091322742252e-21,1.67907591554482,0.757,0.424,5.7365874298581e-17,"0","IFITM2"
3.78827539654931e-21,1.90796958769836,0.649,0.205,8.1364578967086e-17,"0","CD3E"
3.22840816897411e-20,2.17603391776749,0.618,0.244,6.9339750653226e-16,"0","EVL"
3.41952247061375e-20,1.81271024937007,0.664,0.259,7.34445036238421e-16,"0","ETS1"
3.79500391850739e-20,4.14092896253124,0.375,0.015,8.15090941617017e-16,"0","PRF1"
4.319828308111e-20,0.953163909008178,0.961,0.8,9.27812724016082e-16,"0","HLA-C"
5.83415972004764e-20,2.69951778504908,0.568,0.19,1.25306082467183e-15,"0","PIK3R1"
3.06472543847077e-19,2.38465844115852,0.568,0.18,6.58241729674753e-15,"0","CD3G"
3.4736965661987e-19,2.24191089365305,0.699,0.361,7.46080548488157e-15,"0","CD69"
3.74247886360019e-19,1.42652122802115,0.602,0.21,8.03809610324048e-15,"0","GZMB"
4.07611898128399e-19,1.61204914007857,0.71,0.249,8.75468834800175e-15,"0","TRBC2"
4.40713132279398e-19,3.93450958282452,0.421,0.068,9.46563665509691e-15,"0","PARP8"
6.86841076244176e-19,8.39677082328286,0.32,0,1.47519726355724e-14,"0","ITGA1"
1.27448232635187e-18,0.985197457498748,0.931,0.688,2.73733314053856e-14,"0","HLA-E"
1.30077462470089e-18,1.81899983513501,0.645,0.293,2.79380373893258e-14,"0","CD48"
5.7124883548062e-18,2.02618996819975,0.737,0.488,1.22692824884528e-13,"0","CLEC2B"
7.48369221900814e-18,7.4072364969869,0.313,0.005,1.60734741479857e-13,"0","LINC02446"
1.93853306193753e-17,2.51551889180555,0.467,0.098,4.16358131042944e-13,"0","TRBC1"
3.60399812482204e-17,1.63625749615092,0.707,0.385,7.74066717249277e-13,"0","SAMSN1"
4.95121257145615e-17,1.97434899700914,0.568,0.195,1.06342143609735e-12,"0","CLEC2D"
6.72933433831318e-17,3.3122002886871,0.375,0.049,1.4453264291829e-12,"0","IL2RB"
1.20976393095867e-16,1.39012963881649,0.749,0.449,2.59833097091302e-12,"0","ARHGDIB"
1.52369144684722e-16,1.7061896431631,0.629,0.302,3.27258448953847e-12,"0","CORO1A"
2.2293231763569e-16,0.816173094127612,0.973,0.829,4.78814031817934e-12,"0","HLA-A"
2.53232015600944e-16,1.47612555523726,0.737,0.532,5.43891723107707e-12,"0","SEPTIN7"
4.95413264435522e-16,1.82022925686395,0.622,0.327,1.06404860935461e-11,"0","CDC42SE2"
9.54140750051766e-16,8.45397731174847,0.27,0,2.04930350296118e-11,"0","TRGC2"
1.17791860502874e-15,1.30482083980529,0.799,0.522,2.52993357988072e-11,"0","CXCR4"
1.56840472716702e-15,0.937176081440283,0.799,0.449,3.36861967300932e-11,"0","S100A4"
2.41672672007227e-15,3.83048742988889,0.336,0.039,5.19064564937123e-11,"0","LINC01871"
2.89742038665203e-15,0.750373204444447,0.969,0.902,6.22307950645122e-11,"0","DDX5"
2.92672132504907e-15,2.49765507013964,0.625,0.4,6.2860120619404e-11,"0","TUBA4A"
2.95232934601333e-15,2.83913550564875,0.429,0.117,6.34101296936743e-11,"0","SYTL3"
3.20351148742898e-15,2.30395174195273,0.463,0.132,6.88050197269996e-11,"0","CD96"
4.94327899308904e-15,1.35326449969046,0.676,0.337,1.06171746213566e-10,"0","STK17A"
6.26256412538321e-15,6.53868223269965,0.274,0.01,1.34507352284981e-10,"0","CD8B"
8.39516185359388e-15,1.96722122987192,0.529,0.19,1.80311286291489e-10,"0","FYN"
9.08203363968628e-15,0.591345490888798,0.992,0.966,1.95063918513182e-10,"0","RPS29"
2.20025999616666e-14,1.5254267282558,0.722,0.483,4.72571841976676e-10,"0","TNFAIP3"
2.48601868277792e-14,7.98367538540948,0.328,0.054,5.33947092687043e-10,"0","GNLY"
2.49458340434833e-14,0.563170948473487,0.985,0.976,5.35786623585934e-10,"0","RPS15A"
3.67597403550246e-14,2.18982665319019,0.494,0.195,7.89525703345218e-10,"0","ACAP1"
6.80606550305156e-14,1.23997194381102,0.803,0.659,1.46180674874541e-09,"0","ZFP36L2"
6.84807641256391e-14,0.818025117824232,0.896,0.746,1.47082985189048e-09,"0","VIM"
1.04169610329629e-13,0.763942257238414,0.973,0.893,2.23735489065978e-09,"0","BTG1"
1.17372169455024e-13,6.72141290457342,0.255,0.01,2.520919455555e-09,"0","XCL2"
2.1395052433124e-13,1.74396502222801,0.591,0.312,4.59522936158637e-09,"0","RAC2"
2.186392200903e-13,2.26247451781144,0.402,0.102,4.69593316909947e-09,"0","GZMM"
4.67044476734941e-13,0.570418590086128,0.988,0.961,1.00311812713131e-08,"0","ACTB"
5.07240936347329e-13,1.17177577493611,0.849,0.702,1.08945208308679e-08,"0","CRIP1"
5.26522475556099e-13,1.16484463225675,0.795,0.649,1.13086497299939e-08,"0","MYL12A"
6.06754154503053e-13,0.546465477897219,0.996,0.99,1.30318657304166e-08,"0","RPL10"
6.84027379184614e-13,1.69447637572847,0.618,0.356,1.46915400501271e-08,"0","PSMB9"
1.09308727325067e-12,1.87598677388278,0.498,0.19,2.3477328454878e-08,"0","BCL11B"
1.32734212753224e-12,3.43980902476857,0.309,0.054,2.85086542151374e-08,"0","LAG3"
1.46678826763348e-12,5.04226359701566,0.255,0.02,3.15036784122318e-08,"0","OASL"
1.99680876363985e-12,2.0322090492472,0.459,0.171,4.28874586254567e-08,"0","GNG2"
3.58266653727649e-12,1.50559149873806,0.649,0.439,7.69485118876245e-08,"0","PPP2R5C"
4.68357780914426e-12,1.92169830426512,0.471,0.2,1.005938841848e-07,"0","EMB"
6.21222981121437e-12,1.00550879426996,0.819,0.673,1.33426271885262e-07,"0","SRSF5"
6.25551217127093e-12,1.06156863260611,0.958,0.922,1.34355890414557e-07,"0","DNAJB1"
6.47448734318772e-12,2.35976104290907,0.425,0.166,1.39059039156986e-07,"0","IKZF3"
7.09942069875213e-12,1.72558415734946,0.548,0.293,1.52481357767798e-07,"0","IL2RG"
8.07652805378746e-12,1.16730144794131,0.718,0.522,1.73467669539247e-07,"0","MBNL1"
9.15255916594e-12,1.89803003181512,0.463,0.176,1.96578665766059e-07,"0","DOK2"
1.37574233724217e-11,0.478991114223505,0.996,0.985,2.95481939192873e-07,"0","TPT1"
2.490638812218e-11,2.41489195777476,0.375,0.122,5.34939404088183e-07,"0","LCK"
2.61527312118995e-11,0.8665926133974,0.861,0.712,5.61708360969177e-07,"0","PFN1"
3.51677448723181e-11,1.56002214267869,0.548,0.293,7.55332824367649e-07,"0","RESF1"
7.41359382652908e-11,1.33044338882088,0.656,0.439,1.59229168206192e-06,"0","STK17B"
7.9583980622826e-11,1.00790952412828,0.768,0.59,1.70930473581706e-06,"0","SARAF"
9.52629263556218e-11,0.675751266831492,0.907,0.829,2.04605713226604e-06,"0","CALM1"
9.70582459017958e-11,1.35755704619014,0.622,0.415,2.08461700547877e-06,"0","RNF213"
1.03229441703822e-10,1.14384650989729,0.602,0.322,2.21716194891469e-06,"0","CNOT6L"
1.17465604048045e-10,1.14227021513661,0.664,0.473,2.52292624374391e-06,"0","CD99"
1.34368624239214e-10,2.08405936568041,0.436,0.195,2.88596931140984e-06,"0","IKZF1"
1.52517025608363e-10,2.93572763892752,0.317,0.088,3.27576067601642e-06,"0","GPR174"
2.0835055669233e-10,1.37043112303793,0.695,0.512,4.47495325663787e-06,"0","DUSP2"
2.22075178053257e-10,1.14569425278305,0.633,0.351,4.76973067422785e-06,"0","COTL1"
2.52458020507506e-10,0.802729058745425,0.838,0.751,5.4222933644602e-06,"0","PNRC1"
